depth,10-23
teta,h,K
0.3777,-10.8,1.39E+00
0.3732,-12.6,1.08E+00
0.3693,-14.7,1.03E+00
0.3654,-16.9,9.47E-01
0.3614,-19.3,8.91E-01
0.357,-21.8,9.93E-01
0.3525,-24.5,7.02E-01
0.348,-27.4,7.44E-01
0.3435,-30.6,5.10E-01
0.3396,-34.5,4.12E-01
0.3351,-39,4.03E-01
0.3306,-44.2,2.44E-01
0.3266,-50.1,1.86E-01
0.322,-56.6,1.69E-01
0.3175,-63.8,9.60E-02
0.3134,-71.6,7.05E-02
0.3094,-80.4,5.28E-02
0.3053,-90,3.97E-02
0.3012,-100.5,3.01E-02
0.2971,-112.3,2.30E-02
0.2935,-125.6,1.10E-02
0.2899,-140,1.31E-02
0.2857,-154.9,1.08E-02
0.2821,-169.8,6.02E-03
0.2784,-184.4,8.94E-03
0.2748,-198.4,5.69E-03
0.2717,-211.6,5.72E-03
0.2682,-223.5,8.58E-03
