depth,60-90
theta,h,K
0.4667,-58.1,8.27E-01
0.4637,-65.2,3.95E-01
0.4607,-72.6,2.27E-01
0.4578,-80.3,1.46E-01
0.4553,-88.1,5.38E-02
0.4529,-96,6.52E-02
0.45,-104,4.94E-02
0.447,-112,3.81E-02
0.4441,-119.8,3.32E-02
0.4412,-127.4,2.94E-02
0.4388,-135,1.33E-02
0.4363,-142.7,2.16E-02
0.4334,-150.5,1.94E-02
0.4305,-158.3,1.81E-02
0.4281,-166.5,9.16E-03
0.4256,-174.7,1.43E-02
0.4227,-182.7,1.30E-02
0.4203,-190.8,6.31E-03
0.4179,-198.9,1.06E-02
0.4155,-207,5.16E-03
0.4131,-215.3,9.37E-03
0.4107,-223.8,4.57E-03
0.4088,-232.3,4.18E-03
0.4068,-239.8,7.14E-03
