depth,90-120
theta,h,k
0.487,-14.2,6.73E-01
0.485,-17.4,6.93E-01
0.483,-20.4,8.56E-01
0.481,-23.7,1.03E+00
0.4786,-27.5,1.39E+00
0.4766,-32,1.24E+00
0.474,-37.1,7.62E-01
0.4714,-42.9,6.95E-01
0.4693,-49.3,5.04E-01
0.4666,-56,2.99E-01
0.464,-62.9,3.05E-01
0.4639,-66.5,8.90E-01
0.4618,-70,2.47E-01
0.4622,-71.7,5.58E-01
0.4605,-76.4,4.07E-01
0.4591,-76.7,1.52E-01
0.4583,-80.6,4.05E-01
0.4569,-83.2,1.32E-01
0.4565,-84.4,3.65E-01
0.4543,-87.7,2.21E-01
0.4547,-89.3,1.21E-01
0.4526,-90.6,1.58E-01
0.451,-93.4,1.32E-01
0.452,-94.7,1.39E-01
0.4494,-96.1,1.15E-01
0.4483,-99,7.29E-02
0.4498,-99.6,1.28E-01
0.4466,-102.2,7.57E-02
0.4471,-104.3,8.85E-02
0.4455,-105.4,1.04E-01
0.4439,-108.4,9.09E-02
0.4449,-108.7,7.50E-02
0.4428,-111.4,4.59E-02
0.4426,-113.1,6.74E-02
0.4412,-114.2,4.05E-02
0.4402,-117,6.44E-02
0.4403,-117.8,6.10E-02
0.4388,-119.9,5.76E-02
0.4386,-122.4,3.70E-02
0.4373,-123,5.27E-02
0.4363,-126.1,3.26E-02
0.4363,-127.3,3.53E-02
0.4353,-129.2,1.43E-02
0.4346,-132.2,4.80E-02
0.4342,-132.6,3.45E-02
0.4324,-137.1,4.32E-02
0.4306,-142.3,2.50E-02
0.4283,-147.3,2.25E-02
0.4265,-152.6,3.12E-02
0.4242,-158.3,2.75E-02
0.4219,-164.1,2.47E-02
0.4201,-170,1.56E-02
0.4183,-175.9,8.04E-03
0.4166,-181.9,1.51E-02
