depth,28-105
teta,h,K
0.4039,-43.2,4.31E-01
0.4019,-45.7,2.35E-01
0.4009,-48.4,1.35E-01
0.3987,-51.7,7.77E-02
0.3975,-55.5,4.62E-02
0.3952,-59.9,3.19E-02
0.395,-60.6,3.08E-01
0.3944,-62.3,1.87E-01
0.3932,-64.1,7.86E-02
0.394,-64.6,2.50E-02
0.3924,-66,8.45E-02
0.3916,-68.3,8.50E-02
0.3924,-69.7,9.30E-03
0.3907,-71.2,6.91E-02
0.3898,-74.4,4.64E-02
0.3907,-75,1.66E-02
0.3889,-77.7,3.11E-02
0.388,-80.4,3.13E-02
0.3895,-80.6,1.40E-02
0.3877,-86.4,6.24E-03
0.386,-92.7,1.06E-02
0.3848,-99.1,9.22E-03
0.3831,-105.7,4.75E-03
0.382,-112.4,4.88E-03
0.3809,-119.6,4.97E-03
0.3798,-127.5,4.64E-03
0.3787,-136.4,4.13E-03
0.3775,-145.8,3.57E-03
0.3764,-154.1,3.19E-03
