depth,105-135
teta,h,K
0.3802,-14.7,3.22E-01
0.3725,-32.5,6.54E-01
0.3653,-36.5,6.12E-01
0.3586,-39.6,5.14E-01
0.3513,-42.5,4.74E-01
0.3437,-45.2,3.88E-01
0.3361,-48.4,3.25E-01
0.329,-51.6,2.13E-01
0.3226,-55,1.62E-01
0.3157,-58.8,1.54E-01
0.3126,-60.2,9.49E-01
0.3091,-62.7,9.60E-02
0.3044,-64.8,5.58E-01
0.3028,-66.9,9.21E-02
0.296,-70,2.53E-01
0.2966,-71.3,6.59E-02
0.2908,-75.7,6.53E-02
0.2876,-75.9,1.72E-01
0.2848,-80.1,6.33E-02
0.2791,-82.4,9.39E-02
0.2787,-84.6,5.96E-02
0.2723,-89.1,5.63E-02
0.2715,-89.2,6.86E-02
0.266,-93.7,4.68E-02
0.2641,-96.1,5.29E-02
0.2596,-98.5,5.17E-02
0.2529,-103.4,4.25E-02
0.2569,-103.4,4.17E-02
0.247,-108.3,3.43E-02
0.2497,-111,3.48E-02
0.2416,-113.3,3.24E-02
0.2368,-118.4,2.44E-02
0.2431,-118.7,2.64E-02
0.233,-123.6,1.75E-02
0.2367,-126.3,2.75E-02
0.2298,-128.9,1.60E-02
0.2305,-133.9,2.18E-02
0.2271,-134.4,1.01E-02
0.2246,-140.1,1.37E-02
0.2253,-141.4,1.71E-02
0.222,-145.9,8.39E-03
0.2206,-148.5,1.60E-02
0.22,-151.9,7.72E-03
0.2165,-155.7,1.20E-02
0.218,-158.1,7.02E-03
0.2133,-163.2,8.42E-03
0.216,-164.4,6.99E-03
0.2145,-170.8,3.27E-03
0.2105,-171,7.64E-03
0.213,-177.4,6.10E-03
0.2082,-179.6,4.64E-03
0.2109,-183.9,6.04E-03
0.2059,-188.6,6.29E-03
0.2035,-198,3.80E-03
0.2016,-207.8,3.44E-03
0.1997,-218.1,3.13E-03
0.1977,-228.5,2.97E-03
0.1963,-239,1.38E-03
0.1949,-249.4,2.65E-03
0.193,-259.5,2.63E-03
